home_scoring_offense,home_scoring_defense,away_scoring_offense,away_scoring_defense,qbelo1_pre,qbelo2_pre,Home_Win
-4.913461538,9.108974359,-5.564102564,3.28525641,1276.420032,1326.310963,1
0.717948718,-6.275641026,-5.634615385,-0.730769231,1580.440941,1431.834938,1
-5.073717949,2.490384615,12.33012821,1.330128205,1378.155975,1684.057926,0
7.096153846,-1.349358974,-5.189102564,4.576923077,1634.789221,1428.512746,1
-5.333333333,3.461538462,-6.041666667,-2.125,1466.02582,1413.336756,1
7.810897436,-4.298076923,0.782051282,-8.967948718,1650.683433,1484.940377,1
-8.810897436,2.782051282,-2.416666667,-2.862179487,1335.632318,1573.351223,1
-3,1.349358974,5.548076923,-0.259615385,1454.397994,1572.212025,0
-11.00320513,4.237179487,0.967948718,0.278846154,1319.260038,1580.992132,0
-1.766025641,-2.759615385,6.368589744,0.259615385,1503.341555,1577.811516,0
3.21474359,-0.349358974,1.416666667,3.737179487,1527.707281,1515.753453,0
-4.913461538,9.108974359,8.003205128,-1.602564103,1283.399811,1531.160613,0
-1.766025641,-2.759615385,2.794871795,4.608974359,1477.653517,1555.644872,1
0.717948718,-6.275641026,-8.810897436,2.782051282,1583.153106,1357.724535,1
6.368589744,0.259615385,-2.753205128,5.826923077,1603.499554,1375.435198,1
5.548076923,-0.259615385,-5.634615385,-0.730769231,1585.436348,1429.122774,1
7.096153846,-1.349358974,-3,1.349358974,1643.3423,1441.173671,1
-2.416666667,-2.862179487,-5.564102564,3.28525641,1551.259007,1319.331185,1
4.288461538,-5.282051282,1.769230769,-0.762820513,1565.599804,1606.3506,1
2.230769231,-2.403846154,-5.073717949,2.490384615,1528.102841,1364.84855,1
-3.076923077,-2.894230769,-5.333333333,3.461538462,1443.528848,1474.10995,1
-11.00320513,4.237179487,-5.189102564,4.576923077,1309.93484,1419.959668,0
1.416666667,3.737179487,0.967948718,0.278846154,1534.39784,1590.317329,1
-6.041666667,-2.125,1.570512821,1.820512821,1405.252626,1519.500369,1
3.21474359,-0.349358974,5.150641026,-1.580128205,1509.062894,1690.754831,0
0.782051282,-8.967948718,-1.483974359,-4.650641026,1475.560278,1486.052165,1
12.33012821,1.330128205,7.810897436,-4.298076923,1697.365352,1660.063532,1
-6.041666667,-2.125,0.782051282,-8.967948718,1439.869842,1497.806698,0
-5.634615385,-0.730769231,12.33012821,1.330128205,1423.376496,1720.559904,0
-2.416666667,-2.862179487,-4.913461538,9.108974359,1557.934133,1269.285972,1
-5.333333333,3.461538462,3.21474359,-0.349358974,1445.483935,1495.233435,1
1.570512821,1.820512821,7.810897436,-4.298076923,1484.883152,1636.86898,1
-5.564102564,3.28525641,6.368589744,0.259615385,1312.656059,1612.807734,0
-2.753205128,5.826923077,-1.766025641,-2.759615385,1366.127019,1509.985727,0
1.769230769,-0.762820513,-8.810897436,2.782051282,1596.809676,1348.843068,0
2.794871795,4.608974359,0.717948718,-6.275641026,1523.312662,1592.034573,1
-3,1.349358974,-11.00320513,4.237179487,1432.285516,1288.350106,1
-5.189102564,4.576923077,-3.076923077,-2.894230769,1441.544402,1472.154863,1
2.230769231,-2.403846154,5.548076923,-0.259615385,1534.182773,1591.182626,0
-1.483974359,-4.650641026,-5.073717949,2.490384615,1463.805745,1358.768618,1
5.150641026,-1.580128205,1.416666667,3.737179487,1704.58429,1542.63691,1
0.967948718,0.278846154,7.096153846,-1.349358974,1582.078259,1652.230454,1
8.003205128,-1.602564103,4.288461538,-5.282051282,1545.274451,1575.140729,1
-5.564102564,3.28525641,1.769230769,-0.762820513,1305.046496,1569.289945,1
2.230769231,-2.403846154,12.33012821,1.330128205,1501.726384,1725.116902,0
0.717948718,-6.275641026,6.368589744,0.259615385,1570.603169,1620.417297,0
-8.810897436,2.782051282,-5.634615385,-0.730769231,1376.362798,1418.819498,0
3.21474359,-0.349358974,-5.189102564,4.576923077,1476.764169,1453.697946,1
-5.073717949,2.490384615,0.782051282,-8.967948718,1342.838748,1517.554426,0
7.810897436,-4.298076923,-1.483974359,-4.650641026,1626.840589,1479.735614,1
7.096153846,-1.349358974,-2.416666667,-2.862179487,1622.124515,1562.781753,1
-2.753205128,5.826923077,-6.041666667,-2.125,1341.155383,1420.122114,0
4.288461538,-5.282051282,-4.913461538,9.108974359,1554.53863,1264.438353,1
5.150641026,-1.580128205,-1.766025641,-2.759615385,1714.683824,1534.957362,1
-5.333333333,3.461538462,1.570512821,1.820512821,1463.953201,1494.911543,0
1.416666667,3.737179487,-11.00320513,4.237179487,1532.537376,1277.708698,1
-3,1.349358974,8.003205128,-1.602564103,1442.926923,1565.87655,0
2.794871795,4.608974359,5.548076923,-0.259615385,1544.744066,1623.639016,0
-3.076923077,-2.894230769,0.967948718,0.278846154,1460.001319,1612.184198,1
-5.333333333,3.461538462,5.150641026,-1.580128205,1445.602931,1723.750853,0
12.33012821,1.330128205,0.717948718,-6.275641026,1730.967751,1556.394541,0
1.769230769,-0.762820513,8.003205128,-1.602564103,1534.394556,1580.074475,1
-6.041666667,-2.125,7.810897436,-4.298076923,1439.438435,1635.190905,0
-1.766025641,-2.759615385,-8.810897436,2.782051282,1525.890333,1341.252138,0
-4.913461538,9.108974359,0.967948718,0.278846154,1256.988314,1573.073008,0
-5.189102564,4.576923077,-5.073717949,2.490384615,1430.730405,1317.88002,0
6.368589744,0.259615385,-2.416666667,-2.862179487,1634.625926,1546.353666,1
-11.00320513,4.237179487,3.21474359,-0.349358974,1269.961104,1499.73171,0
-2.753205128,5.826923077,-5.564102564,3.28525641,1321.839062,1339.941884,0
4.288461538,-5.282051282,-3,1.349358974,1561.988668,1428.728998,1
5.548076923,-0.259615385,-3.076923077,-2.894230769,1643.833664,1499.11251,1
-1.483974359,-4.650641026,7.096153846,-1.349358974,1471.385298,1638.552602,1
1.416666667,3.737179487,1.570512821,1.820512821,1540.284971,1513.261813,1
0.782051282,-8.967948718,2.230769231,-2.403846154,1542.513154,1495.875535,0
-5.634615385,-0.730769231,2.794871795,4.608974359,1453.930158,1524.549418,0
1.416666667,3.737179487,6.368589744,0.259615385,1548.84259,1641.552132,0
0.967948718,0.278846154,-11.00320513,4.237179487,1579.24116,1264.117013,1
5.150641026,-1.580128205,0.782051282,-8.967948718,1729.831249,1524.12835,0
5.548076923,-0.259615385,-1.766025641,-2.759615385,1655.073103,1513.554908,1
1.570512821,1.820512821,3.21474359,-0.349358974,1504.704193,1505.575801,0
-5.564102564,3.28525641,-8.810897436,2.782051282,1361.396217,1353.587563,1
-2.416666667,-2.862179487,-2.753205128,5.826923077,1539.42746,1300.384729,1
7.810897436,-4.298076923,-5.333333333,3.461538462,1645.653331,1439.522536,1
1.769230769,-0.762820513,4.288461538,-5.282051282,1541.293768,1576.180332,1
2.230769231,-2.403846154,-6.041666667,-2.125,1514.260338,1428.976009,1
-3.076923077,-2.894230769,-4.913461538,9.108974359,1487.873071,1250.820161,1
2.794871795,4.608974359,-1.483974359,-4.650641026,1557.382478,1518.004863,0
12.33012821,1.330128205,-5.073717949,2.490384615,1693.90476,1364.101184,0
8.003205128,-1.602564103,-5.189102564,4.576923077,1573.175263,1384.509241,1
-5.634615385,-0.730769231,0.717948718,-6.275641026,1421.097099,1593.457532,0
-3,1.349358974,7.096153846,-1.349358974,1414.537335,1591.933038,1
-6.041666667,-2.125,5.150641026,-1.580128205,1406.31351,1676.888359,1
-5.564102564,3.28525641,-5.333333333,3.461538462,1385.255966,1429.069045,1
-1.766025641,-2.759615385,-2.753205128,5.826923077,1507.112974,1294.826319,0
3.21474359,-0.349358974,7.810897436,-4.298076923,1527.912951,1656.106821,1
-8.810897436,2.782051282,4.288461538,-5.282051282,1329.727814,1563.716801,0
-5.073717949,2.490384615,2.230769231,-2.403846154,1394.942225,1536.922837,0
-11.00320513,4.237179487,-3.076923077,-2.894230769,1258.958813,1497.549277,0
6.368589744,0.259615385,-5.634615385,-0.730769231,1671.6415,1403.729641,1
0.782051282,-8.967948718,-2.416666667,-2.862179487,1577.07124,1544.98587,1
7.096153846,-1.349358974,2.794871795,4.608974359,1561.446989,1506.52215,1
-1.483974359,-4.650641026,12.33012821,1.330128205,1568.86519,1663.063718,1
0.967948718,0.278846154,8.003205128,-1.602564103,1584.399361,1583.944868,0
0.717948718,-6.275641026,5.548076923,-0.259615385,1610.824989,1661.515037,1
-4.913461538,9.108974359,-3,1.349358974,1241.143955,1445.023384,0
1.570512821,1.820512821,1.769230769,-0.762820513,1482.367043,1553.757299,0
-5.189102564,4.576923077,1.416666667,3.737179487,1373.739636,1518.753222,0
0.717948718,-6.275641026,5.548076923,-0.259615385,1639.604096,1632.735931,1
-2.416666667,-2.862179487,0.782051282,-8.967948718,1516.006228,1606.050882,0
7.810897436,-4.298076923,4.288461538,-5.282051282,1631.492293,1575.336877,0
0.967948718,0.278846154,8.003205128,-1.602564103,1547.087854,1621.256375,1
12.33012821,1.330128205,0.967948718,0.278846154,1645.010228,1570.305291,1
5.150641026,-1.580128205,4.288461538,-5.282051282,1620.287496,1619.964962,1
7.096153846,-1.349358974,0.717948718,-6.275641026,1584.733042,1659.199563,1
6.368589744,0.259615385,0.782051282,-8.967948718,1674.36389,1628.362655,0
12.33012821,1.330128205,7.096153846,-1.349358974,1659.159784,1616.357855,1
5.150641026,-1.580128205,0.782051282,-8.967948718,1639.070721,1651.444493,1
12.33012821,1.330128205,5.150641026,-1.580128205,1668.018664,1659.383935,1
2.28525641,-0.128205128,-4.179487179,-2.730769231,1609.127864,1563.20755,1
-1.099358974,3.182692308,-1.836538462,6.275641026,1451.415082,1460.145899,1
-3.756410256,-0.349358974,1.900641026,4.919871795,1463.0405,1581.238833,1
-1.724358974,3.599358974,-3.096153846,-2.746794872,1408.947639,1504.37856,0
12.05128205,-1.336538462,1.092948718,3.429487179,1558.622046,1497.207657,1
-4.971153846,1.201923077,-3.647435897,6.336538462,1346.723937,1497.517941,0
0.025641026,-1.855769231,0.173076923,2.766025641,1505.104613,1403.908386,1
1.923076923,-7.272435897,4.294871795,-2.926282051,1528.00685,1551.505914,1
1.900641026,4.230769231,3.256410256,-0.576923077,1523.851662,1596.546046,1
