home_scoring_offense,home_scoring_defense,away_scoring_offense,away_scoring_defense,home_won
0.782051282,-8.967948718,4.288461538,-5.282051282,0
-2.416666667,-2.862179487,4.288461538,-5.282051282,1
-1.483974359,-4.650641026,4.288461538,-5.282051282,0
2.230769231,-2.403846154,4.288461538,-5.282051282,1
-5.564102564,3.28525641,4.288461538,-5.282051282,0
1.769230769,-0.762820513,7.810897436,-4.298076923,0
-3,1.349358974,7.810897436,-4.298076923,0
-6.041666667,-2.125,7.810897436,-4.298076923,0
0.782051282,-8.967948718,7.810897436,-4.298076923,1
-4.913461538,9.108974359,7.810897436,-4.298076923,0
-5.564102564,3.28525641,7.810897436,-4.298076923,1
6.368589744,0.259615385,7.810897436,-4.298076923,0
1.570512821,1.820512821,7.810897436,-4.298076923,0
1.769230769,-0.762820513,-8.810897436,2.782051282,1
1.416666667,3.737179487,-8.810897436,2.782051282,1
-5.333333333,3.461538462,-8.810897436,2.782051282,1
-2.753205128,5.826923077,-8.810897436,2.782051282,0
-1.766025641,-2.759615385,-8.810897436,2.782051282,0
6.368589744,0.259615385,-8.810897436,2.782051282,0
-3.076923077,-2.894230769,-8.810897436,2.782051282,1
0.967948718,0.278846154,-8.810897436,2.782051282,1
1.769230769,-0.762820513,-2.416666667,-2.862179487,1
7.810897436,-4.298076923,-2.416666667,-2.862179487,1
0.782051282,-8.967948718,-2.416666667,-2.862179487,1
-1.483974359,-4.650641026,-2.416666667,-2.862179487,0
2.230769231,-2.403846154,-2.416666667,-2.862179487,1
-5.564102564,3.28525641,-2.416666667,-2.862179487,1
5.150641026,-1.580128205,-2.416666667,-2.862179487,1
4.288461538,-5.282051282,-2.416666667,-2.862179487,1
1.769230769,-0.762820513,0.782051282,-8.967948718,0
-3,1.349358974,0.782051282,-8.967948718,1
-6.041666667,-2.125,0.782051282,-8.967948718,0
7.810897436,-4.298076923,0.782051282,-8.967948718,1
-4.913461538,9.108974359,0.782051282,-8.967948718,0
-5.564102564,3.28525641,0.782051282,-8.967948718,0
-1.766025641,-2.759615385,0.782051282,-8.967948718,0
