Neighborhood,Building Class,Total Units,Year Built,Gross SqFt,Estimated Gross Income,Gross Income per SqFt,Estimated Expense,Expense per SqFt,Net Operating Income,Full Market Value,Market Value per SqFt,Boro-Block-Lot,Address,Neighborhood,Building Class,Total Units,Year Built,Gross SqFt,Estimated Gross Income,Gross Income per SqFt,Estimated Expense,Expense per SqFt,Net Operating Income,Full Market Value,Market Value per SqFt
RIVERDALE,D4  -ELEVATOR,       54,1962,46500,830490,     17.86,310620,6.68,519870,3958000,     85.12,2-05851-2105,6425 BROADWAY,RIVERDALE,D3  -ELEVATOR,       57,1974,52100,604360,     11.60,169846,3.26,434514,5518000,    105.91
RIVERDALE,D4  -ELEVATOR,       60,1969,60829,1206847,     19.84,700142,11.51,506706,3934000,     64.67,2-05864-0516,6555 BROADWAY,RIVERDALE,D1  -ELEVATOR,       73,1961,62570,1290819,     20.63,516203,8.25,774617,6553000,    104.73
RIVERDALE,D4  -ELEVATOR,       72,1958,92640,1622126,     17.51,684610,7.39,937517,7105000,     76.69,2-05864-0516,6555 BROADWAY,RIVERDALE,D1  -ELEVATOR,       73,1961,62570,1070573,     17.11,468649,7.49,601923,6553000,    104.73
RIVERDALE,D4  -ELEVATOR,       63,1959,54635,1136408,     20.80,454563,8.32,681845,5316000,     97.30,2-05864-0516,6555 BROADWAY,RIVERDALE,D1  -ELEVATOR,       73,1961,62570,1277054,     20.41,585030,9.35,692024,6553000,    104.73
RIVERDALE,D4  -ELEVATOR,       63,1959,62601,1198809,     19.15,551515,8.81,647294,4979000,     79.54,2-05851-2105,6425 BROADWAY,RIVERDALE,D3  -ELEVATOR,       57,1974,52100,1115982,     21.42,413153,7.93,702829,5518000,    105.91
RIVERDALE,D4  -ELEVATOR,       64,1962,80000,1293600,     16.17,612800,7.66,680800,5071000,     63.39,2-05864-0516,6555 BROADWAY,RIVERDALE,D1  -ELEVATOR,       73,1961,62570,1011757,     16.17,479286,7.66,532471,6553000,    104.73
RIVERDALE,D4  -ELEVATOR,      441,1970,718399,13247278,     18.44,5675352,7.9,7571925,57987000,     80.72,2-05796-0117,3620 OXFORD AVENUE,RIVERDALE,D7  -ELEVATOR,       32,2005,66142,1219658,     18.44,593955,8.98,625703,8553000,    129.31
RIVERDALE,D4  -ELEVATOR,       79,1954,104000,1980160,     19.04,1041040,10.01,939120,7237000,     69.59,2-05732-0941,2728 HENRY HUDSON PARKWAY E,RIVERDALE,D1  -ELEVATOR,      121,1928,158408,2743627,     17.32,1690213,10.67," 1,053,413",9369000,     59.14
RIVERDALE,D4  -ELEVATOR,       92,1961,151800,2706594,     17.83,1569612,10.34,1136982,8651000,     56.99,2-05796-0129,3660 OXFORD AVENUE,RIVERDALE,D3  -ELEVATOR,       77,1967,112694,1954114,     17.34,946630,8.4," 1,007,484",5478000,     48.61
RIVERDALE,D4  -ELEVATOR,       86,1952,116424,2328480,     20.00,1210810,10.4,1117670,8687000,     74.62,2-05732-0941,2728 HENRY HUDSON PARKWAY E,RIVERDALE,D1  -ELEVATOR,      121,1928,158408,2897282,     18.29,1751992,11.06," 1,145,290",9369000,     59.14
RIVERDALE,D4  -ELEVATOR,       49,1954,82500,1553475,     18.83,811800,9.84,741675,5703000,     69.13,2-05732-0941,2728 HENRY HUDSON PARKWAY E,RIVERDALE,D1  -ELEVATOR,      121,1928,158408,2749963,     17.36,1647443,10.4," 1,102,520",9369000,     59.14
RIVERDALE,D4  -ELEVATOR,       48,1954,72594,1250069,     17.22,687465,9.47,562604,4250000,     58.54,2-05904-0267,600 WEST 239 STREET,RIVERDALE,D1  -ELEVATOR,       90,1956,98681,1712115,     17.35,875300,8.87,836815,6826000,     69.17
RIVERDALE,D4  -ELEVATOR,       76,1953,119600,2049944,     17.14,1024972,8.57,1024972,7713000,     64.49,2-05798-0086,3640 JOHNSON AVENUE,RIVERDALE,D7  -ELEVATOR,       86,1954,120650,2007616,     16.64,1264412,10.48,743204,5570000,     46.17
RIVERDALE,D4  -ELEVATOR,       43,1953,65766,1069355,     16.26,526786,8.01,542570,4046000,     61.52,2-05907-0352,3800 INDEPENDENCE AVENUE,RIVERDALE,D1  -ELEVATOR,       72,1970,84925,1380881,     16.26,680249,8.01,700631,6057000,     71.32
RIVERDALE,D4  -ELEVATOR,      123,1960,180000,3198600,     17.77,1773000,9.85,1425600,10840000,     60.22,2-05732-0941,2728 HENRY HUDSON PARKWAY E,RIVERDALE,D1  -ELEVATOR,      121,1928,158408,2542448,     16.05,1664868,10.51,877580,9369000,     59.14
RIVERDALE,D4  -ELEVATOR,       58,1952,70000,1379000,     19.70,698600,9.98,680400,5257000,     75.10,2-05904-0267,600 WEST 239 STREET,RIVERDALE,D1  -ELEVATOR,       90,1956,98681,1937108,     19.63,1013454,10.27,923654,6826000,     69.17
RIVERDALE,D4  -ELEVATOR,       52,1954,64520,1220718,     18.92,562614,8.72,658104,5067000,     78.53,2-05907-0352,3800 INDEPENDENCE AVENUE,RIVERDALE,D1  -ELEVATOR,       72,1970,84925,1606781,     18.92,740546,8.72,866235,6057000,     71.32
RIVERDALE,D4  -ELEVATOR,      159,1953,217360,4390672,     20.20,2501814,11.51,1888858,14697000,     67.62,2-05796-0129,3660 OXFORD AVENUE,RIVERDALE,D3  -ELEVATOR,       77,1967,112694,2222326,     19.72,1050308,9.32," 1,172,018",5478000,     48.61
RIVERDALE,D4  -ELEVATOR,      145,1953,201511,3871026,     19.21,2129971,10.57,1741055,13445000,     66.72,2-05920-0687,699 WEST 239 STREET,RIVERDALE,D1  -ELEVATOR,      132,1962,162000,3112020,     19.21,1352700,8.35," 1,759,320",13584000,     83.85
RIVERDALE,C6  -WALK-UP,       52,1951,57250,975540,     17.04,415063,7.25,560478,4225000,     73.80,2-05844-1935,5431 SYLVAN AVENUE,RIVERDALE,C1  -WALK-UP,       24,1972,18756,315101,     16.80,120601,6.43,194500,1932000,    103.01
RIVERDALE,D4  -ELEVATOR,      183,1961,213921,3865552,     18.07,1884644,8.81,1980908,15115000,     70.66,2-05796-0117,3620 OXFORD AVENUE,RIVERDALE,D7  -ELEVATOR,       32,2005,66142,1195186,     18.07,582711,8.81,612475,8553000,    129.31
RIVERDALE,D4  -ELEVATOR,      133,1961,167108,2917706,     17.46,1226573,7.34,1691133,12768000,     76.41,2-05920-0670,3801 HUDSON MANOR TERRACE,RIVERDALE,D1  -ELEVATOR,      135,1960,152400,2618232,     17.18,1118616,7.34," 1,499,616",14798000,     97.10
RIVERDALE,D4  -ELEVATOR,      196,1963,255000,4865400,     19.08,2417400,9.48,2448000,18873000,     74.01,2-05907-0352,3800 INDEPENDENCE AVENUE,RIVERDALE,D1  -ELEVATOR,       72,1970,84925,1627163,     19.16,820376,9.66,806788,6057000,     71.32
RIVERDALE,D4  -ELEVATOR,      104,1954,163944,2719831,     16.59,1536155,9.37,1183676,8869000,     54.10,2-05732-0941,2728 HENRY HUDSON PARKWAY E,RIVERDALE,D1  -ELEVATOR,      121,1928,158408,2357111,     14.88,1588832,10.03,768279,9369000,     59.14
RIVERDALE,D4  -ELEVATOR,      110,1954,188200,3039430,     16.15,1550768,8.24,1488662,11080000,     58.87,2-05907-0352,3800 INDEPENDENCE AVENUE,RIVERDALE,D1  -ELEVATOR,       72,1970,84925,1371539,     16.15,699782,8.24,671757,6057000,     71.32
RIVERDALE,D4  -ELEVATOR,      106,1963,109152,2264904,     20.75,1126449,10.32,1138455,8900000,     81.54,2-05732-0941,2728 HENRY HUDSON PARKWAY E,RIVERDALE,D1  -ELEVATOR,      121,1928,158408,3016088,     19.04,1739320,10.98," 1,276,768",9369000,     59.14
RIVERDALE,D4  -ELEVATOR,       76,1960,125526,2342315,     18.66,1075758,8.57,1266557,9723000,     77.46,2-05920-0670,3801 HUDSON MANOR TERRACE,RIVERDALE,D1  -ELEVATOR,      135,1960,152400,2831592,     18.58,1278636,8.39," 1,552,956",14798000,     97.10
RIVERDALE,D4  -ELEVATOR,      185,1963,216720,4080838,     18.83,1959149,9.04,2121689,16316000,     75.29,2-05784-0340,500 WEST 235 STREET,KINGSBRIDGE/JEROME PARK,D1  -ELEVATOR,       87,1954,92600,1956638,     21.13,1129720,12.2,826918,6482000,     70.00
RIVERDALE,D4  -ELEVATOR,      105,1952,126000,2451960,     19.46,999180,7.93,1452780,11157000,     88.55,2-05864-0516,6555 BROADWAY,RIVERDALE,D1  -ELEVATOR,       73,1961,62570,1164428,     18.61,478035,7.64,686393,6553000,    104.73
RIVERDALE,D4  -ELEVATOR,      144,1939,189592,3291317,     17.36,1810604,9.55,1480714,11207000,     59.11,2-05950-0430,5535 NETHERLAND AVENUE,RIVERDALE,D1  -ELEVATOR,      168,1948,175726,2943411,     16.75,1140462,6.49," 1,802,949",13538000,     77.04
RIVERDALE,D4  -ELEVATOR,      126,1939,139416,2481605,     17.80,1367671,9.81,1113934,8474000,     60.78,2-05780-0940,3900 GREYSTONE AVENUE,RIVERDALE,D1  -ELEVATOR,      127,1928,134703,2397713,     17.80,1321436,9.81," 1,076,277",8191000,     60.81
RIVERDALE,D4  -ELEVATOR,      437,1961,404890,6947912,     17.16,3243169,8.01,3704744,27969000,     69.08,2-05864-0516,6555 BROADWAY,RIVERDALE,D1  -ELEVATOR,       73,1961,62570,1073701,     17.16,501186,8.01,572516,6553000,    104.73
RIVERDALE,D4  -ELEVATOR,      435,1961,400180,6867089,     17.16,3205442,8.01,3661647,27643000,     69.08,2-05864-0516,6555 BROADWAY,RIVERDALE,D1  -ELEVATOR,       73,1961,62570,1073701,     17.16,501186,8.01,572516,6553000,    104.73
RIVERDALE,D4  -ELEVATOR,      437,1962,407920,7024382,     17.22,3267439,8.01,3756943,28355000,     69.51,2-05864-0516,6555 BROADWAY,RIVERDALE,D1  -ELEVATOR,       73,1961,62570,1073701,     17.16,501186,8.01,572516,6553000,    104.73
RIVERDALE,D4  -ELEVATOR,      116,1954,150700,2702051,     17.93,1485902,9.86,1216149,9263000,     61.47,2-05920-0687,699 WEST 239 STREET,RIVERDALE,D1  -ELEVATOR,      132,1962,162000,3112020,     19.21,1352700,8.35," 1,759,320",13584000,     83.85
RIVERDALE,D4  -ELEVATOR,      462,1949,395000,8374000,     21.20,4941450,12.51,3432550,26937000,     68.19,2-05722-0475,2600 NETHERLAND AVENUE,RIVERDALE,D7  -ELEVATOR,      589,1975,844578,19577318,     23.18,9594406,11.36," 9,982,912",79251000,     93.84
