Riverdale,Elevator,Total Units,Year Built,Gross SqFt,Estimated Gross Income,Gross Income SQFT,Estimated Expense,Expense SQFT,Net Operating Income,Income to Expense Ratio,Market Value,Market Value SQFT
0,0,31,1925,34875,418151,11.99,237499,6.81,180653,1.760643203,1223000,35.07
0,0,26,1922,19250,242165,12.58,144568,7.51,97598,1.675094073,672000,34.91
0,0,44,1928,35700,479808,13.44,304878,8.54,174930,1.573770492,1232000,34.51
0,0,25,1905,24930,308384,12.37,183485,7.36,124899,1.680704145,854000,34.26
0,0,25,1912,17220,228337,13.26,143959,8.36,84378,1.586125216,590000,34.26
0,0,28,1931,27550,303050,11,159515,5.79,143536,1.899821333,942000,34.19
0,0,15,1925,14850,181319,12.21,107217,7.22,74102,1.691140398,505000,34.01
0,0,25,1917,24750,290813,11.75,165825,6.7,124988,1.753734359,841000,33.98
0,0,26,1925,21917,284702,12.99,178404,8.14,106297,1.595827448,741000,33.81
0,0,20,1913,17550,213408,12.16,126360,7.2,87048,1.688888889,592000,33.73
0,0,24,1914,21025,261341,12.43,157898,7.51,103443,1.655125461,708000,33.67
0,0,21,1926,18750,211875,11.3,117563,6.27,94313,1.80222519,625000,33.33
0,0,25,1917,24750,296010,11.96,175230,7.08,120780,1.689265537,818000,33.05
0,0,43,1933,30000,385500,12.85,243300,8.11,142200,1.584463625,986000,32.87
0,0,26,1924,18000,234540,13.03,149760,8.32,84780,1.566105769,590000,32.78
0,0,20,1913,17550,201123,11.46,115655,6.59,85469,1.738990965,570000,32.48
0,0,29,1924,26742,326787,12.22,200298,7.49,126490,1.631504059,862000,32.23
0,0,13,1905,14516,177531,12.23,109741,7.56,67790,1.617727194,462000,31.83
0,0,43,1923,28165,332629,11.81,200535,7.12,132094,1.658707956,890000,31.6
0,0,46,1928,46210,585943,12.68,375225,8.12,210718,1.56157772,1454000,31.47
0,0,15,1910,14575,176503,12.11,109604,7.52,66899,1.610370059,455000,31.22
