Boro-Block-Lot,Address,Neighborhood,Building Class,Total Units,Year Built,Gross SqFt,Estimated Gross Income,Gross Income per SqFt,Estimated Expense,Expense per SqFt,Net Operating Income,Full Market Value,Market Value per SqFt
2-04287-0001,2081 CRUGER AVENUE,PELHAM PARKWAY SOUTH,D4  -ELEVATOR,       85,1931,87924,1309188,     14.89,807142,9.18,502046,3660000,     41.63
2-04292-0014,2100 WALLACE AVENUE,PELHAM PARKWAY SOUTH,D4  -ELEVATOR,      148,1940,144354,2550735,     17.67,1380024,9.56,1170711,8892000,     61.60
2-04291-0014,2105 WALLACE AVENUE,PELHAM PARKWAY SOUTH,D4  -ELEVATOR,      191,1952,220000,3616800,     16.44,1933800,8.79,1683000,12582000,     57.19
2-04325-0021,2121 PAULDING AVENUE,PELHAM PARKWAY SOUTH,D4  -ELEVATOR,      121,1964,153804,2251691,     14.64,944357,6.14,1307334,9490000,     61.70
2-04319-0010,2156 CRUGER AVENUE,PELHAM PARKWAY SOUTH,D4  -ELEVATOR,       73,1930,70836,999496,     14.11,548271,7.74,451225,3240000,     45.74
2-04317-0006,2160 BRONX PARK EAST,PELHAM PARKWAY SOUTH,D4  -ELEVATOR,       61,1938,64291,887859,     13.81,496969,7.73,390889,2789000,     43.38
2-04322-0051,2165 MATTHEWS AVENUE,PELHAM PARKWAY SOUTH,D4  -ELEVATOR,       62,1959,58500,875745,     14.97,482040,8.24,393705,2875000,     49.15
2-04317-0015,2166 BRONX PARK EAST,PELHAM PARKWAY SOUTH,D4  -ELEVATOR,       65,1936,73610,1146108,     15.57,619060,8.41,527048,3888000,     52.82
2-04319-0015,2186 CRUGER AVENUE,PELHAM PARKWAY SOUTH,D4  -ELEVATOR,       73,1930,70812,1091921,     15.42,639432,9.03,452489,3331000,     47.04
2-04319-0040,2187 HOLLAND AVENUE,PELHAM PARKWAY SOUTH,D4  -ELEVATOR,       73,1930,73182,1156276,     15.80,619852,8.47,536424,3972000,     54.28
2-04317-0025,2190 BOSTON ROAD,PELHAM PARKWAY SOUTH,D4  -ELEVATOR,       78,1941,87354,1443962,     16.53,793174,9.08,650787,4850000,     55.52
2-04317-0037,2191 BOLTON STREET,PELHAM PARKWAY SOUTH,D4  -ELEVATOR,       54,1941,44270,713190,     16.11,401972,9.08,311218,2315000,     52.29
2-04319-0030,2199 HOLLAND AVENUE,PELHAM PARKWAY SOUTH,D4  -ELEVATOR,       93,1930,88386,1309881,     14.82,704436,7.97,605444,4408000,     49.87
2-04298-0022,900 LYDIG AVENUE,PELHAM PARKWAY SOUTH,D4  -ELEVATOR,       92,1959,105000,1502550,     14.31,808500,7.7,694050,5005000,     47.67
2-05743-0198,2390 PALISADE AVENUE,RIVERDALE,D4  -ELEVATOR,       60,1964,80214,1392515,     17.36,766044,9.55,626471,4741000,     59.10
2-05716-0362,2400 JOHNSON AVENUE,RIVERDALE,D4  -ELEVATOR,      130,1969,142000,2811600,     19.80,1496680,10.54,1314920,10183000,     71.71
2-05716-0265,2465 PALISADE AVENUE,RIVERDALE,D4  -ELEVATOR,       69,1958,85117,1578920,     18.55,829040,9.74,749881,5732000,     67.34
2-05723-0084,25 KNOLLS CRESCENT,RIVERDALE,D4  -ELEVATOR,      252,1954,247247,4507313,     18.23,1713422,6.93,2793891,21355000,     86.37
2-05716-0500,2500 JOHNSON AVENUE,RIVERDALE,D4  -ELEVATOR,      339,1967,466400,8852272,     18.98,3917760,8.4,4934512,38001000,     81.48
2-05745-0290,2501 PALISADE AVENUE,RIVERDALE,C6  -WALK-UP,       17,1927,28536,403784,     14.15,120993,4.24,282792,2031000,     71.17
2-05743-0002,2530 INDEPENDENCE AVENUE,RIVERDALE,D4  -ELEVATOR,       70,1961,79296,1292525,     16.30,590755,7.45,701770,5235000,     66.02
2-05743-0203,2550 INDEPENDENCE AVENUE,RIVERDALE,D4  -ELEVATOR,      142,1959,200314,3477451,     17.36,1668616,8.33,1808835,13682000,     68.30
2-05745-0305,2575 PALISADE AVENUE,RIVERDALE,D4  -ELEVATOR,      143,1958,168962,2725357,     16.13,954635,5.65,1770722,13185000,     78.04
2-05746-0584,2601 HENRY HUDSON PARKWAY W,RIVERDALE,D4  -ELEVATOR,       69,1954,92171,1495935,     16.23,903276,9.8,592660,4418000,     47.93
2-05745-0001,2621 PALISADE AVENUE,RIVERDALE,D4  -ELEVATOR,      180,1962,231154,3670726,     15.88,2022598,8.75,1648128,12221000,     52.87
2-05725-0776,269 KAPPOCK STREET,RIVERDALE,D4  -ELEVATOR,       96,1961,130570,1885431,     14.44,848705,6.5,1036726,7495000,     57.40
2-05747-0590,2711 HENRY HUDSON PARKWAY W,RIVERDALE,D4  -ELEVATOR,       52,1953,82559,1754379,     21.25,831369,10.07,923010,7227000,     87.54
2-05745-0012,2727 PALISADE AVENUE,RIVERDALE,D4  -ELEVATOR,      125,1955,194730,3273411,     16.81,1801253,9.25,1472159,11070000,     56.85
2-05747-0605,2734 INDEPENDENCE AVENUE,RIVERDALE,D4  -ELEVATOR,       67,1970,83880,1611335,     19.21,902549,10.76,708786,5472000,     65.24
2-05726-0673,2750 JOHNSON AVENUE,RIVERDALE,D4  -ELEVATOR,       75,1964,93060,1603424,     17.23,833818,8.96,769606,5815000,     62.49
2-05748-0500,3001 HENRY HUDSON PARKWAY W,RIVERDALE,D4  -ELEVATOR,       85,1934,147500,2340825,     15.87,1287675,8.73,1053150,7808000,     52.94
2-05738-0353,3015 RIVERDALE AVENUE,RIVERDALE,D4  -ELEVATOR,      121,1941,125148,2003619,     16.01,1086285,8.68,917335,6812000,     54.43
2-05738-0366,3030 JOHNSON AVENUE,RIVERDALE,D4  -ELEVATOR,       60,1966,64310,1116422,     17.36,668824,10.4,447598,3387000,     52.67
2-05736-0006,3050 FAIRFIELD AVENUE,RIVERDALE,D4  -ELEVATOR,       73,1958,111000,1926960,     17.36,866910,7.81,1060050,8019000,     72.24
2-05742-0120,3103 FAIRFIELD AVENUE,RIVERDALE,D4  -ELEVATOR,      108,1949,108700,1887032,     17.36,1038085,9.55,848947,6425000,     59.11
2-05739-0257,3135 JOHNSON AVENUE,RIVERDALE,D4  -ELEVATOR,      122,1953,141721,2759308,     19.47,1380363,9.74,1378945,10641000,     75.08
2-05787-0130,3200 NETHERLAND AVENUE,RIVERDALE,D4  -ELEVATOR,       80,1957,88470,1615462,     18.26,1017405,11.5,598057,4571000,     51.67
2-05789-0015,3206 FAIRFIELD AVENUE,RIVERDALE,D4  -ELEVATOR,       56,1954,59352,1115818,     18.80,536542,9.04,579276,4454000,     75.04
2-05788-0074,3210 ARLINGTON AVENUE,RIVERDALE,D4  -ELEVATOR,       67,1955,80735,1318403,     16.33,830763,10.29,487639,3641000,     45.10
2-05789-0059,3215 ARLINGTON AVENUE,RIVERDALE,D4  -ELEVATOR,       68,1958,82000,1541600,     18.80,909380,11.09,632220,4860000,     59.27
2-05788-0119,3215 NETHERLAND AVENUE,RIVERDALE,D4  -ELEVATOR,       49,1939,75000,963000,     12.84,481500,6.42,481500,3359000,     44.79
2-05787-0177,3225 JOHNSON AVENUE,RIVERDALE,D4  -ELEVATOR,       60,1970,60928,1112545,     18.26,700672,11.5,411873,3148000,     51.67
2-05787-0148,3260 NETHERLAND AVENUE,RIVERDALE,D4  -ELEVATOR,       54,1950,51000,1039380,     20.38,573750,11.25,465630,3630000,     71.18
2-05785-0268,3299 CAMBRIDGE AVENUE,RIVERDALE,D4  -ELEVATOR,       84,1954,111675,1728729,     15.48,1012892,9.07,715837,5273000,     47.22
2-05901-0001,3333 HENRY HUDSON PARKWAY W,RIVERDALE,D4  -ELEVATOR,      441,1970,718399,13247278,     18.44,5675352,7.9,7571925,57987000,     80.72
2-05792-0422,3512 OXFORD AVENUE,RIVERDALE,D4  -ELEVATOR,       45,1962,43000,905580,     21.06,447200,10.4,458380,3591000,     83.51
2-05902-0193,3515 HENRY HUDSON PARKWAY W,RIVERDALE,D4  -ELEVATOR,       79,1954,104000,1980160,     19.04,1041040,10.01,939120,7237000,     69.59
2-05795-0518,3530 HENRY HUDSON PARKWAY E,RIVERDALE,D4  -ELEVATOR,      216,1955,312000,5531760,     17.73,2979600,9.55,2552160,19399000,     62.18
2-05771-0020,3600 FIELDSTON ROAD,RIVERDALE,D4  -ELEVATOR,       73,1941,86000,1538540,     17.89,969220,11.27,569320,4334000,     50.40
2-05799-0073,3601 JOHNSON AVENUE,RIVERDALE,D4  -ELEVATOR,       90,1955,115597,1890011,     16.35,1003382,8.68,886629,6619000,     57.26
2-05800-0001,3616 HENRY HUDSON PARKWAY E,RIVERDALE,D4  -ELEVATOR,      120,1954,207100,3398511,     16.41,1859758,8.98,1538753,11495000,     55.50
2-05799-0032,3635 JOHNSON AVENUE,RIVERDALE,D4  -ELEVATOR,       82,1954,106684,1764553,     16.54,975092,9.14,789462,5911000,     55.41
2-05796-0135,3656 JOHNSON AVENUE,RIVERDALE,D4  -ELEVATOR,       56,1932,73911,1518132,     20.54,971930,13.15,546202,4267000,     57.73
2-05920-0653,3671 HUDSON MANOR TERRACE,RIVERDALE,D4  -ELEVATOR,      185,1963,216720,4080838,     18.83,1959149,9.04,2121689,16316000,     75.29
2-05904-0246,3701 HENRY HUDSON PARKWAY W,RIVERDALE,D4  -ELEVATOR,       49,1954,82500,1553475,     18.83,811800,9.84,741675,5703000,     69.13
2-05906-0331,3720 INDEPENDENCE AVENUE,RIVERDALE,D4  -ELEVATOR,       48,1954,72594,1250069,     17.22,687465,9.47,562604,4250000,     58.54
2-05904-0100,3725 HENRY HUDSON PARKWAY W,RIVERDALE,D4  -ELEVATOR,       86,1952,116424,2328480,     20.00,1210810,10.4,1117670,8687000,     74.62
2-05919-0448,3750 HUDSON MANOR TERRACE,RIVERDALE,D4  -ELEVATOR,      104,1954,163944,2719831,     16.59,1536155,9.37,1183676,8869000,     54.10
2-05904-0086,3755 HENRY HUDSON PARKWAY W,RIVERDALE,D4  -ELEVATOR,       92,1961,151800,2706594,     17.83,1569612,10.34,1136982,8651000,     56.99
2-05919-0436,3777 INDEPENDENCE AVENUE,RIVERDALE,D4  -ELEVATOR,      196,1963,255000,4865400,     19.08,2417400,9.48,2448000,18873000,     74.01
2-05779-0815,3810 GREYSTONE AVENUE,RIVERDALE,D4  -ELEVATOR,       44,1939,41068,846411,     20.61,407805,9.93,438606,3425000,     83.40
2-05779-0820,3840 GREYSTONE AVENUE,RIVERDALE,D4  -ELEVATOR,      127,1951,186480,3466663,     18.59,2045686,10.97,1420978,10903000,     58.47
2-05919-0460,3850 HUDSON MANOR TERRACE,RIVERDALE,D4  -ELEVATOR,      110,1954,188200,3039430,     16.15,1550768,8.24,1488662,11080000,     58.87
2-05920-0500,3901 INDEPENDENCE AVENUE,RIVERDALE,D4  -ELEVATOR,      106,1963,109152,2264904,     20.75,1126449,10.32,1138455,8900000,     81.54
2-05908-0210,3935 BLACKSTONE AVENUE,RIVERDALE,D4  -ELEVATOR,      123,1960,180000,3198600,     17.77,1773000,9.85,1425600,10840000,     60.22
2-05909-0031,4499 HENRY HUDSON PARKWAY W,RIVERDALE,D4  -ELEVATOR,       58,1952,70000,1379000,     19.70,698600,9.98,680400,5257000,     75.10
2-05909-0977,4525 HENRY HUDSON PARKWAY W,RIVERDALE,D4  -ELEVATOR,      145,1953,201511,3871026,     19.21,2129971,10.57,1741055,13445000,     66.72
2-05909-0970,4555 HENRY HUDSON PARKWAY W,RIVERDALE,D4  -ELEVATOR,      159,1953,217360,4390672,     20.20,2501814,11.51,1888858,14697000,     67.62
2-05911-1102,4601 HENRY HUDSON PARKWAY W,RIVERDALE,C6  -WALK-UP,       52,1951,57250,975540,     17.04,415063,7.25,560478,4225000,     73.80
2-05912-0001,4705 HENRY HUDSON PARKWAY W,RIVERDALE,D4  -ELEVATOR,      183,1961,213921,3865552,     18.07,1884644,8.81,1980908,15115000,     70.66
2-05771-0041,474 WEST 238 STREET,RIVERDALE,D4  -ELEVATOR,       54,1939,76500,1368585,     17.89,807840,10.56,560745,4272000,     55.84
2-05912-0091,4901 HENRY HUDSON PARKWAY W,RIVERDALE,D4  -ELEVATOR,      133,1961,167108,2917706,     17.46,1226573,7.34,1691133,12768000,     76.41
2-05723-0094,510 KAPPOCK STREET,RIVERDALE,C6  -WALK-UP,       34,1948,43000,810550,     18.85,381410,8.87,429140,3302000,     76.79
2-05792-0445,525 WEST 235 STREET,RIVERDALE,D4  -ELEVATOR,       38,1954,47000,890650,     18.95,525460,11.18,365190,2812000,     59.83
2-05796-0107,525 WEST 236 STREET,RIVERDALE,D4  -ELEVATOR,       57,1956,68728,1420608,     20.67,838482,12.2,582126,4552000,     66.23
2-05797-0213,525 WEST 238 STREET,RIVERDALE,C6  -WALK-UP,       70,1926,117929,1524822,     12.93,725263,6.15,799559,5589000,     47.39
2-05946-0052,5355 HENRY HUDSON PARKWAY W,RIVERDALE,D4  -ELEVATOR,      105,1952,126000,2451960,     19.46,999180,7.93,1452780,11157000,     88.55
2-05950-0406,5410 NETHERLAND AVENUE,RIVERDALE,D4  -ELEVATOR,      144,1939,189592,3291317,     17.36,1810604,9.55,1480714,11207000,     59.11
2-05950-0475,5415 NETHERLAND AVENUE,RIVERDALE,D4  -ELEVATOR,      126,1939,139416,2481605,     17.80,1367671,9.81,1113934,8474000,     60.78
2-05845-1863,5425 VALLES AVENUE,RIVERDALE,D4  -ELEVATOR,      109,1965,110000,1854600,     16.86,1019700,9.27,834900,6277000,     57.06
2-05845-1825,5500 FIELDSTON ROAD,RIVERDALE,D4  -ELEVATOR,      188,1960,263206,4261305,     16.19,2184610,8.3,2076695,15468000,     58.77
2-05722-0445,555 KAPPOCK STREET,RIVERDALE,D4  -ELEVATOR,      412,1966,539000,9346260,     17.34,5142060,9.54,4204200,31824000,     59.04
2-05953-0550,5600 NETHERLAND AVENUE,RIVERDALE,D4  -ELEVATOR,      462,1949,395000,8374000,     21.20,4941450,12.51,3432550,26937000,     68.19
2-05953-0545,5601 RIVERDALE AVENUE,RIVERDALE,D4  -ELEVATOR,      116,1954,150700,2702051,     17.93,1485902,9.86,1216149,9263000,     61.47
2-05785-0284,5620 SYLVAN AVENUE,RIVERDALE,D4  -ELEVATOR,       77,1960,80120,1508660,     18.83,874910,10.92,633749,4872000,     60.81
2-05953-0038,5700 ARLINGTON AVENUE,RIVERDALE,D4  -ELEVATOR,      437,1961,404890,6947912,     17.16,3243169,8.01,3704744,27969000,     69.08
2-05859-0297,5715 MOSHOLU AVENUE,RIVERDALE,D4  -ELEVATOR,       54,1962,46500,830490,     17.86,310620,6.68,519870,3958000,     85.12
2-05855-2239,5730 MOSHOLU AVENUE,RIVERDALE,D4  -ELEVATOR,       43,1963,33000,704880,     21.36,274890,8.33,429990,3361000,    101.85
2-05953-0230,5800 ARLINGTON AVENUE,RIVERDALE,D4  -ELEVATOR,      435,1961,400180,6867089,     17.16,3205442,8.01,3661647,27643000,     69.08
2-05953-0240,5900 ARLINGTON AVENUE,RIVERDALE,D4  -ELEVATOR,      437,1962,407920,7024382,     17.22,3267439,8.01,3756943,28355000,     69.51
2-05723-0042,60 KNOLLS CRESCENT,RIVERDALE,D4  -ELEVATOR,      244,1953,237800,4846364,     20.38,2078372,8.74,2767992,21562000,     90.67
2-05725-0767,609 KAPPOCK STREET,RIVERDALE,D4  -ELEVATOR,       66,1962,82500,1432200,     17.36,787875,9.55,644325,4877000,     59.12
2-05909-0152,611 WEST 239 STREET,RIVERDALE,D4  -ELEVATOR,       52,1954,64520,1220718,     18.92,562614,8.72,658104,5067000,     78.53
2-05907-0362,620 WEST 239 STREET,RIVERDALE,D4  -ELEVATOR,       76,1953,119600,2049944,     17.14,1024972,8.57,1024972,7713000,     64.49
2-05887-1348,6200 RIVERDALE AVENUE,RIVERDALE,D4  -ELEVATOR,       63,1959,62601,1198809,     19.15,551515,8.81,647294,4979000,     79.54
2-05891-1601,6300 RIVERDALE AVENUE,RIVERDALE,D4  -ELEVATOR,       64,1962,80000,1293600,     16.17,612800,7.66,680800,5071000,     63.39
2-05737-0061,640 WEST 231 STREET,RIVERDALE,D4  -ELEVATOR,       61,1953,72800,1263808,     17.36,682136,9.37,581672,4399000,     60.43
2-05908-0203,645 WEST 239 STREET,RIVERDALE,D4  -ELEVATOR,       43,1953,65766,1069355,     16.26,526786,8.01,542570,4046000,     61.52
2-05856-0378,6485 BROADWAY,RIVERDALE,D4  -ELEVATOR,      129,1961,127000,2125980,     16.74,1148080,9.04,977900,7339000,     57.79
2-05864-0526,6535 BROADWAY,RIVERDALE,D4  -ELEVATOR,       60,1969,60829,1206847,     19.84,700142,11.51,506706,3934000,     64.67
2-05873-1042,6601 BROADWAY,RIVERDALE,D4  -ELEVATOR,       72,1958,92640,1622126,     17.51,684610,7.39,937517,7105000,     76.69
2-05881-1088,6645 BROADWAY,RIVERDALE,D4  -ELEVATOR,       63,1959,54635,1136408,     20.80,454563,8.32,681845,5316000,     97.30
2-05920-0510,679 WEST 239 STREET,RIVERDALE,D4  -ELEVATOR,       76,1960,125526,2342315,     18.66,1075758,8.57,1266557,9723000,     77.46
2-05750-0357,735 KAPPOCK STREET,RIVERDALE,D4  -ELEVATOR,       69,1953,61538,1049838,     17.06,398766,6.48,651072,4907000,     79.74
2-05744-0048,750 KAPPOCK STREET,RIVERDALE,D4  -ELEVATOR,      160,1953,209920,3644211,     17.36,1748634,8.33,1895578,14339000,     68.31
2-04162-0002,1720 MAYFLOWER AVENUE,SCHUYLERVILLE/PELHAM BAY,D4  -ELEVATOR,      120,1966,127000,1859280,     14.64,1149350,9.05,709930,5153000,     40.57
2-04251-0011,1874 PELHAM PARKWAY SOUTH,SCHUYLERVILLE/PELHAM BAY,D4  -ELEVATOR,       95,1970,85218,1559489,     18.30,812128,9.53,747362,5716000,     67.08
2-04252-0017,1910 PELHAM PARKWAY SOUTH,SCHUYLERVILLE/PELHAM BAY,D4  -ELEVATOR,       52,1964,44329,845797,     19.08,391868,8.84,453929,3483000,     78.57
2-04230-0015,1950 HUTCH RIVER PARKWAY EAST,SCHUYLERVILLE/PELHAM BAY,D4  -ELEVATOR,      158,1961,179920,2803154,     15.58,1804598,10.03,998556,7354000,     40.87
2-04247-0057,2015 ST PAUL AVENUE,SCHUYLERVILLE/PELHAM BAY,D4  -ELEVATOR,       66,1964,58600,860834,     14.69,436570,7.45,424264,3082000,     52.59
2-04174-0024,3121 MIDDLETOWN ROAD,SCHUYLERVILLE/PELHAM BAY,D4  -ELEVATOR,      157,1963,135250,1809645,     13.38,1006260,7.44,803385,5675000,     41.96
2-05403-0025,3321 BRUCKNER BOULEVARD,SCHUYLERVILLE/PELHAM BAY,D4  -ELEVATOR,       71,1939,57994,1082748,     18.67,523686,9.03,559062,4274000,     73.70
2-03717-0018,1036 MANOR AVENUE,SOUNDVIEW,C6  -WALK-UP,       44,1928,35700,526575,     14.75,315945,8.85,210630,1532000,     42.91
2-03737-0037,1160 COLGATE AVENUE,SOUNDVIEW,C6  -WALK-UP,       17,1927,13446,198329,     14.75,116980,8.7,81348,591000,     43.95
2-03740-0005,1521 WATSON AVENUE,SOUNDVIEW,D4  -ELEVATOR,       63,1928,62916,1023643,     16.27,549886,8.74,473757,3534000,     56.17
2-03716-0001,1569 BRUCKNER BOULEVARD,SOUNDVIEW,D4  -ELEVATOR,      104,1962,124778,2037625,     16.33,1234054,9.89,803570,5999000,     48.08
2-03717-0001,1591 BRUCKNER BOULEVARD,SOUNDVIEW,D4  -ELEVATOR,      105,1960,117922,1660342,     14.08,1012950,8.59,647392,4646000,     39.40
2-03663-0002,1760 BRUCKNER BOULEVARD,SOUNDVIEW,D4  -ELEVATOR,      408,1958,361452,4554295,     12.60,2342209,6.48,2212086,15323000,     42.39
2-03627-0040,820 BOYNTON AVENUE,SOUNDVIEW,D4  -ELEVATOR,      225,1962,256750,3650985,     14.22,2089945,8.14,1561040,11234000,     43.75
2-03627-0030,825 MORRISON AVENUE,SOUNDVIEW,D4  -ELEVATOR,      225,1962,256750,3650985,     14.22,2089945,8.14,1561040,11234000,     43.75
2-03627-0020,875 MORRISON AVENUE,SOUNDVIEW,D4  -ELEVATOR,      225,1962,256750,3650985,     14.22,2089945,8.14,1561040,11234000,     43.75
2-03627-0050,880 BOYNTON AVENUE,SOUNDVIEW,D4  -ELEVATOR,      225,1962,256750,3650985,     14.22,2089945,8.14,1561040,11234000,     43.75
2-03659-0001,920 METCALF AVENUE,SOUNDVIEW,D4  -ELEVATOR,      239,1967,212300,2770515,     13.05,1800304,8.48,970211,6801000,     32.03
2-05802-1294,6035 BROADWAY,VAN CORTLANDT PARK,D4  -ELEVATOR,      103,1961,107627,1786608,     16.60,962185,8.94,824423,6157000,     57.21
2-05038-0010,4331 RICHARDSON AVENUE,WAKEFIELD,C6  -WALK-UP,       21,1964,17013,351148,     20.64,175914,10.34,175234,1369000,     80.47
2-05000-0001,855 EAST 233 STREET,WAKEFIELD,D4  -ELEVATOR,      110,1964,120534,1404221,     11.65,689454,5.72,714767,4818000,     39.97
2-03987-0058,1500 OVERING STREET,WESTCHESTER,C6  -WALK-UP,       31,1926,27150,451233,     16.62,270143,9.95,181091,1357000,     49.98
2-04659-0031,3511 BARNES AVENUE,WILLIAMSBRIDGE,D4  -ELEVATOR,      126,1967,136070,2281894,     16.77,1110331,8.16,1171563,8782000,     64.54
2-04641-0016,3555 OLINVILLE AVENUE,WILLIAMSBRIDGE,D4  -ELEVATOR,      142,1965,167000,2738800,     16.40,1320970,7.91,1417830,10574000,     63.32
2-04653-0049,3850 BRONX BOULEVARD,WILLIAMSBRIDGE,D4  -ELEVATOR,      166,1958,167750,3048018,     18.17,1971063,11.75,1076955,8227000,     49.04
2-04663-0028,724 EAST 216 STREET,WILLIAMSBRIDGE,C6  -WALK-UP,       19,1928,19292,302306,     15.67,180573,9.36,121733,899000,     46.60
2-04845-0011,745 EAST 231 STREET,WILLIAMSBRIDGE,D4  -ELEVATOR,      201,1957,249258,3145636,     12.62,810089,3.25,2335547,16190000,     64.95
2-04840-0023,747 EAST 226 STREET,WILLIAMSBRIDGE,C6  -WALK-UP,       23,1963,16506,271689,     16.46,141787,8.59,129902,971000,     58.83
2-04670-0050,800 TILDEN STREET,WILLIAMSBRIDGE,D4  -ELEVATOR,      269,1962,289000,4236740,     14.66,1878500,6.5,2358240,17118000,     59.23
2-04671-0051,801 TILDEN STREET,WILLIAMSBRIDGE,D4  -ELEVATOR,      266,1971,318060,4557800,     14.33,2544480,8,2013320,14525000,     45.67
2-04671-0004,839 TILDEN STREET,WILLIAMSBRIDGE,D4  -ELEVATOR,       58,2018,76358,1787541,     23.41,352010,4.61,1435530,11406000,    149.38
2-03379-0001,201 EAST 238 STREET,WOODLAWN,D4  -ELEVATOR,       49,1954,47679,750467,     15.74,422913,8.87,327555,2423000,     50.82
2-03363-0058,4200 HERKIMER PLACE,WOODLAWN,D4  -ELEVATOR,       45,1967,39959,764416,     19.13,395195,9.89,369221,2848000,     71.27
2-03383-0001,4260 KATONAH AVENUE,WOODLAWN,D4  -ELEVATOR,      108,1958,93645,1474909,     15.75,840932,8.98,633977,4671000,     49.88
2-03396-0021,4265 WEBSTER AVENUE,WOODLAWN,D4  -ELEVATOR,       53,1955,62015,915962,     14.77,432865,6.98,483097,3514000,     56.66
2-03398-0097,4295 WEBSTER AVENUE,WOODLAWN,D4  -ELEVATOR,       80,1957,57840,856032,     14.80,428016,7.4,428016,3116000,     53.87
2-03398-0087,4315 WEBSTER AVENUE,WOODLAWN,D4  -ELEVATOR,       78,1958,61914,916327,     14.80,540509,8.73,375818,2735000,     44.17
2-03368-0010,4320 VAN CORTLANDT PARK EAST,WOODLAWN,D4  -ELEVATOR,      111,1958,151800,1903572,     12.54,1094478,7.21,809094,5597000,     36.87
2-03398-0044,4380 VIREO AVENUE,WOODLAWN,D4  -ELEVATOR,      127,1958,109206,1703614,     15.60,911870,8.35,791744,5845000,     53.52
