Boro-Block-Lot,Address,Neighborhood,Building Class,Total Units,Year Built,Gross SqFt,Estimated Gross Income,Gross Income per SqFt,Estimated Expense,Expense per SqFt,Net Operating Income,Full Market Value,Market Value per SqFt
2-04599-0017,3260 CRUGER AVENUE,BRONXDALE,D4  -ELEVATOR,      101,1965,116222,2226814,     19.16,1113407,9.58,1113407,8567000,     73.71
2-04337-0001,601 PELHAM PARKWAY NORTH,BRONXDALE,D4  -ELEVATOR,      116,1937,108757,1981553,     18.22,1166963,10.73,814590,6225000,     57.24
2-04341-0001,665 THWAITES PLACE,BRONXDALE,D4  -ELEVATOR,      136,1962,125891,2194280,     17.43,1323114,10.51,871166,6597000,     52.40
2-04573-0005,829 ADEE AVENUE,BRONXDALE,C6  -WALK-UP,       74,1927,48944,824706,     16.85,477204,9.75,347502,2613000,     53.39
2-03788-0021,1041 PUGSLEY AVENUE,CASTLE HILL/UNIONPORT,D4  -ELEVATOR,      133,1963,151155,1996758,     13.21,937161,6.2,1059597,7378000,     48.81
2-03794-0013,1966 NEWBOLD AVENUE,CASTLE HILL/UNIONPORT,D4  -ELEVATOR,      139,1967,144460,2117784,     14.66,1227910,8.5,889874,6457000,     44.70
2-03567-0001,633 OLMSTEAD AVENUE,CASTLE HILL/UNIONPORT,D4  -ELEVATOR,      624,1966,598478,8091423,     13.52,4775854,7.98,3315568,23518000,     39.30
2-05628-0008,30 CAROLL STREET,CITY ISLAND,C6  -WALK-UP,       12,1920,6480,156881,     24.21,80093,12.36,76788,613000,     94.60
2-05135-0051,120 ERSKINE PLACE,CO-OP CITY,D4  -ELEVATOR,     4470,1969,5541031,85110236,     15.36,50201741,9.06,34908495, 256567000,     46.30
2-05141-0120,2049 BARTOW AVENUE,CO-OP CITY,D4  -ELEVATOR,    10948,1969,13540113, 189019977,     13.96, 119017593,8.79,70002384, 500769000,     36.98
2-05409-0041,1110 STADIUM AVENUE,COUNTRY CLUB,D4  -ELEVATOR,      130,1963,136913,2306984,     16.85,1162391,8.49,1144593,8610000,     62.89
2-05481-0048,3255 RANDALL AVENUE,COUNTRY CLUB,D4  -ELEVATOR,       65,1965,55800,1164546,     20.87,562464,10.08,602082,4714000,     84.48
2-02998-0145,1003 EAST 174 STREET,CROTONA PARK,C6  -WALK-UP,       43,1923,28165,387269,     13.75,230671,8.19,156597,1116000,     39.62
2-02966-0017,1500 BOSTON ROAD,CROTONA PARK,C6  -WALK-UP,       43,1933,30000,416100,     13.87,270000,9,146100,1044000,     34.80
2-02967-0006,1574 BOSTON ROAD,CROTONA PARK,D4  -ELEVATOR,       54,1929,50000,1062500,     21.25,597500,11.95,465000,3638000,     72.76
2-03010-0004,1670 LONGFELLOW AVENUE,CROTONA PARK,D4  -ELEVATOR,       60,1928,66258,1070729,     16.16,579758,8.75,490972,3633000,     54.83
2-02949-0075,1815 PROSPECT AVENUE,CROTONA PARK,C6  -WALK-UP,       45,1931,54126,891996,     16.48,479015,8.85,412981,3090000,     57.09
2-02948-0028,701 CROTONA PARK NORTH,CROTONA PARK,C6  -WALK-UP,       25,1916,18225,324405,     17.80,193367,10.61,131038,997000,     54.71
2-02948-0025,705 CROTONA PARK NORTH,CROTONA PARK,C6  -WALK-UP,       20,1916,15000,290250,     19.35,170250,11.35,120000,928000,     61.87
2-03130-0100,1010 EAST 178 STREET,EAST TREMONT,D4  -ELEVATOR,      221,1972,214344,4121835,     19.23,2422087,11.3,1699748,13119000,     61.21
